transaction_id,customer_id,transaction_amount,transaction_date,transaction_count,region,transaction_status
TXN_0000030,CUST_00190,648.06,2024-09-05,3,East,Success
TXN_0000031,CUST_00958,7813.05,2024-02-02,8,South,Success
TXN_0000032,CUST_00687,1353.69,2024-08-16,3,East,Success
TXN_0000033,CUST_00958,5479.44,2024-01-12,8,East,Success
TXN_0000034,CUST_00563,1952.38,2024-04-27,5,East,Fail
TXN_0000035,CUST_00832,1939.99,2024-12-15,3,East,Success
TXN_0000036,CUST_01155,3136.08,2024-06-03,7,North,Success
TXN_0000037,CUST_00647,1088.77,2024-09-02,4,East,Success
TXN_0000038,CUST_00021,2455.28,2024-11-27,5,East,Success
TXN_0000039,CUST_00841,1627.51,2024-09-03,2,North,Success
TXN_0000040,CUST_00167,767.86,2024-01-29,4,North,Fail
TXN_0000041,CUST_00388,2892.82,2024-06-09,5,West,Success
TXN_0000042,CUST_00601,1788.9,2024-08-22,4,South,Success
TXN_0000043,CUST_00316,1947.65,2024-07-08,3,West,Success
TXN_0000044,CUST_00014,838.72,2024-04-26,6,North,Success
TXN_0000045,CUST_00242,7888.18,2024-09-27,2,North,Success
TXN_0000046,CUST_00777,4453.17,2024-09-14,3,North,Success
TXN_0000047,CUST_00565,4775.84,2024-06-28,2,West,Success
TXN_0000048,CUST_00898,1729.6,2024-06-20,7,East,Success
TXN_0000049,CUST_00092,553.72,2024-09-30,2,South,Success
TXN_0000050,CUST_00956,10533.69,2024-09-15,3,South,Success
TXN_0000051,CUST_00509,2103.0,2024-05-14,7,East,Success
TXN_0000052,CUST_00776,1213.13,2024-06-19,4,South,Success
TXN_0000053,CUST_00035,3082.33,2024-07-28,3,East,Success
TXN_0000054,CUST_00206,5617.81,2024-08-23,4,West,Success
TXN_0000055,CUST_01105,2168.0,2024-07-04,3,North,Success
TXN_0000056,CUST_01026,6141.72,2024-12-29,9,East,Success
TXN_0000057,CUST_01022,5252.19,2024-04-04,14,East,Success
TXN_0000058,CUST_00566,933.46,2024-01-11,4,North,Success
TXN_0000059,CUST_01130,1288.16,2024-03-08,7,North,Fail
TXN_0000060,CUST_00703,4750.62,2024-07-28,1,South,Success
TXN_0000061,CUST_00402,252.12,2024-07-14,5,East,Success
TXN_0000062,CUST_00730,1959.48,2024-04-07,4,North,Fail
TXN_0000063,CUST_00162,702.98,2024-04-02,2,South,Success
TXN_0000064,CUST_00202,1508.33,2024-01-22,4,West,Success
TXN_0000065,CUST_00996,1738.79,2024-06-20,4,East,Success
TXN_0000066,CUST_00270,1658.06,2024-05-13,7,West,Success
TXN_0000067,CUST_00816,1419.69,2024-01-25,7,North,Success
TXN_0000068,CUST_00456,918.08,2024-07-03,4,North,Success
TXN_0000069,CUST_01017,13815.26,2024-03-25,5,East,Success
TXN_0000070,CUST_00296,9837.63,2024-02-24,8,West,Fail
TXN_0000071,CUST_00720,871.61,2024-09-07,4,North,Success
TXN_0000072,CUST_00338,7829.81,2024-05-23,7,East,Success
TXN_0000073,CUST_00879,1604.28,2024-12-16,5,East,Success
TXN_0000074,CUST_01077,2448.79,2024-06-15,6,East,Success
TXN_0000075,CUST_00792,2099.35,2024-08-11,3,North,Fail
TXN_0000076,CUST_00217,1302.71,2024-08-07,7,North,Success
TXN_0000077,CUST_00764,4851.69,2024-06-27,7,East,Success
TXN_0000078,CUST_00188,2442.33,2024-04-28,3,South,Success
TXN_0000079,CUST_00380,1508.33,2024-09-21,3,East,Success
TXN_0000080,CUST_00493,777.69,2024-05-29,3,East,Success
TXN_0000081,CUST_01065,1080.44,2024-08-02,5,East,Success
TXN_0000082,CUST_01181,594.01,2024-07-15,6,South,Success
TXN_0000083,CUST_00015,2230.05,2024-02-11,4,West,Success
TXN_0000084,CUST_00065,847.82,2024-02-22,2,North,Success
TXN_0000085,CUST_00521,1785.67,2024-11-25,7,North,Success
TXN_0000086,CUST_01153,6608.3,2024-09-07,3,West,Success
TXN_0000087,CUST_00648,5764.3,2024-10-21,8,East,Fail
TXN_0000088,CUST_01087,2152.06,2024-09-27,6,East,Fail
TXN_0000089,CUST_01163,2059.73,2024-05-02,4,North,Success
TXN_0000090,CUST_00593,9935.8,2024-12-04,4,East,Success
TXN_0000091,CUST_00392,3349.63,2024-09-22,5,West,Success
TXN_0000092,CUST_00419,1698.93,2024-12-13,5,North,Success
TXN_0000093,CUST_00289,705.7,2024-01-29,4,South,Success
TXN_0000094,CUST_00379,3026.31,2024-02-04,6,East,Success
TXN_0000095,CUST_00231,4287.5,2024-01-06,4,West,Success
TXN_0000096,CUST_01018,1332.32,2024-04-20,7,North,Success
TXN_0000097,CUST_00041,2787.67,2024-10-20,6,North,Success
TXN_0000098,CUST_01052,1651.01,2024-03-17,5,South,Success
TXN_0000099,CUST_00135,1906.02,2024-12-14,3,East,Success
TXN_0000100,CUST_00201,301.79,2024-05-26,6,South,Success
TXN_0000101,CUST_00780,1849.32,2024-03-07,6,West,Success
TXN_0000102,CUST_00930,4795.8,2024-01-08,7,North,Success
TXN_0000103,CUST_01057,1332.59,2024-05-01,4,North,Success
TXN_0000104,CUST_01072,2303.12,2024-12-05,9,South,Success
TXN_0000105,CUST_00503,1206.21,2024-06-23,7,South,Success
TXN_0000106,CUST_00407,2946.44,2024-06-27,6,South,Success
TXN_0000107,CUST_00805,1857.12,2024-03-25,5,East,Success
TXN_0000108,CUST_00099,1041.7,2024-02-14,5,North,Success
TXN_0000109,CUST_00684,6412.74,2024-05-15,10,East,Success
TXN_0000110,CUST_00726,4643.14,2024-12-08,6,West,Fail
TXN_0000111,CUST_00961,1361.14,2024-01-16,9,East,Success
TXN_0000112,CUST_00613,3288.64,2024-11-28,4,South,Success
TXN_0000113,CUST_00643,3394.56,2024-07-13,6,West,Success
TXN_0000114,CUST_01029,3691.7,2024-01-09,3,West,Success
TXN_0000115,CUST_00503,569.41,2024-11-11,6,East,Success
TXN_0000116,CUST_00767,4940.81,2024-11-29,4,East,Success
TXN_0000117,CUST_00398,1400.02,2024-11-28,6,South,Success
TXN_0000118,CUST_00871,1658.61,2024-11-22,5,South,Success
TXN_0000119,CUST_00795,18220.55,2024-01-15,5,West,Success
TXN_0000120,CUST_00393,2811.57,2024-11-22,7,South,Success
TXN_0000121,CUST_00207,1621.23,2024-04-11,3,North,Success
TXN_0000122,CUST_01039,378.33,2024-08-13,4,North,Success
TXN_0000123,CUST_00892,6713.07,2024-10-04,6,West,Success
TXN_0000124,CUST_00864,752.82,2024-04-22,8,East,Success
TXN_0000125,CUST_00743,989.55,2024-01-01,4,East,Fail
TXN_0000126,CUST_00564,1694.12,2024-09-22,2,North,Success
TXN_0000127,CUST_01021,6857.71,2024-07-26,4,East,Success
TXN_0000128,CUST_00096,4099.38,2024-04-19,6,South,Success
TXN_0000129,CUST_00485,1946.39,2024-07-18,5,North,Success
TXN_0000130,CUST_00231,2826.05,2024-11-01,6,West,Success
TXN_0000131,CUST_00749,1366.07,2024-01-12,3,East,Success
TXN_0000132,CUST_01195,2469.38,2024-12-10,3,West,Success
TXN_0000133,CUST_00541,2341.79,2024-07-06,6,West,Success
TXN_0000134,CUST_01060,4793.5,2024-06-02,5,East,Success
TXN_0000135,CUST_00525,4787.4,2024-11-29,4,East,Success
TXN_0000136,CUST_01184,3278.63,2024-10-05,11,North,Success
TXN_0000137,CUST_01110,1652.63,2024-06-19,6,North,Success
TXN_0000138,CUST_00578,3997.63,2024-05-13,5,West,Fail
TXN_0000139,CUST_00682,2051.7,2024-01-25,5,West,Success
TXN_0000140,CUST_00557,929.33,2024-01-18,7,North,Success
TXN_0000141,CUST_01013,1599.38,2024-07-08,5,West,Success
TXN_0000142,CUST_00646,2362.84,2024-05-20,2,South,Success
TXN_0000143,CUST_00796,4574.13,2024-02-12,3,East,Success
TXN_0000144,CUST_01052,1906.79,2024-11-29,4,East,Success
TXN_0000145,CUST_00190,839.36,2024-10-10,8,South,Success
TXN_0000146,CUST_00633,2310.9,2024-05-25,5,North,Success
TXN_0000147,CUST_00628,2418.17,2024-11-10,4,North,Success
TXN_0000148,CUST_00973,2562.32,2024-11-14,10,West,Fail
TXN_0000149,CUST_00710,4609.6,2024-04-01,6,West,Success
TXN_0000150,CUST_00649,4989.74,2024-06-27,4,North,Success
TXN_0000151,CUST_00318,1372.83,2024-02-25,4,West,Success
TXN_0000152,CUST_00684,1348.95,2024-06-03,4,South,Success
TXN_0000153,CUST_00664,960.87,2024-06-08,6,East,Success
TXN_0000154,CUST_01137,3862.43,2024-04-20,4,South,Success
TXN_0000155,CUST_00442,7037.84,2024-05-16,6,East,Success
TXN_0000156,CUST_00564,1716.31,2024-08-19,6,East,Success
TXN_0000157,CUST_01137,1820.48,2024-08-07,3,West,Success
TXN_0000158,CUST_00952,7139.7,2024-03-08,3,West,Success
TXN_0000159,CUST_01105,3309.15,2024-10-28,3,East,Success
TXN_0000160,CUST_00699,3130.63,2024-09-05,2,West,Success
TXN_0000161,CUST_00113,851.73,2024-11-18,5,South,Success
TXN_0000162,CUST_00002,3800.86,2024-01-06,2,North,Success
TXN_0000163,CUST_00642,1050.15,2024-10-06,5,West,Success
TXN_0000164,CUST_00220,891.39,2024-04-03,9,West,Success
TXN_0000165,CUST_00855,1673.35,2024-09-25,4,West,Success
TXN_0000166,CUST_00385,1382.11,2024-07-15,4,North,Success
TXN_0000167,CUST_01154,1849.59,2024-01-25,4,South,Success
TXN_0000168,CUST_01077,697.3,2024-05-27,6,East,Success
TXN_0000169,CUST_00730,4755.48,2024-04-27,4,South,Fail
TXN_0000170,CUST_00247,5443.34,2024-12-03,5,West,Success
TXN_0000171,CUST_00836,465.04,2024-12-03,9,North,Success
TXN_0000172,CUST_00203,4830.79,2024-03-06,6,South,Success
TXN_0000173,CUST_00123,1154.68,2024-10-27,6,West,Success
TXN_0000174,CUST_00401,4383.4,2024-06-23,2,West,Success
TXN_0000175,CUST_00767,2090.68,2024-11-14,6,East,Success
TXN_0000176,CUST_00294,2259.77,2024-03-16,8,North,Success
TXN_0000177,CUST_00280,1904.4,2024-04-23,8,East,Success
TXN_0000178,CUST_00884,5823.77,2024-04-20,3,South,Success
TXN_0000179,CUST_00198,819.2,2024-09-05,4,East,Success
TXN_0000180,CUST_00982,3591.31,2024-07-21,3,South,Success
TXN_0000181,CUST_00752,5329.77,2024-05-26,4,West,Success
TXN_0000182,CUST_00144,3916.96,2024-02-04,8,North,Success
TXN_0000183,CUST_00609,14182.43,2024-11-04,4,North,Fail
TXN_0000184,CUST_01148,1446.41,2024-01-26,5,West,Success
TXN_0000185,CUST_00187,4749.73,2024-08-25,5,North,Success
TXN_0000186,CUST_00464,2028.65,2024-01-14,8,East,Success
TXN_0000187,CUST_00660,5923.75,2024-02-14,2,South,Success
TXN_0000188,CUST_00764,2194.81,2024-08-03,5,South,Success
TXN_0000189,CUST_00955,1619.22,2024-08-20,5,South,Success
TXN_0000190,CUST_00403,6278.32,2024-07-11,6,East,Success
TXN_0000191,CUST_00147,1490.33,2024-02-20,2,South,Success
TXN_0000192,CUST_01172,713.24,2024-08-01,2,North,Success
TXN_0000193,CUST_00864,1460.48,2024-05-30,3,South,Success
TXN_0000194,CUST_00489,3623.61,2024-10-01,2,East,Success
TXN_0000195,CUST_00929,6725.29,2024-12-03,5,North,Success
TXN_0000196,CUST_00551,2413.67,2024-03-16,3,West,Success
TXN_0000197,CUST_00338,6339.52,2024-08-07,2,North,Success
TXN_0000198,CUST_00872,745.06,2024-12-13,4,East,Success
TXN_0000199,CUST_00641,1549.04,2024-07-05,3,North,Success
TXN_0000200,CUST_00473,1753.1,2024-10-15,3,South,Success
TXN_0000201,CUST_00151,2014.96,2024-01-28,5,East,Success
TXN_0000202,CUST_00263,2362.03,2024-06-28,6,West,Success
TXN_0000203,CUST_00144,3838.08,2024-09-09,2,South,Success
TXN_0000204,CUST_00346,1547.13,2024-05-05,2,East,Success
TXN_0000205,CUST_00624,2468.15,2024-06-25,5,East,Success
TXN_0000206,CUST_01017,2130.05,2024-02-06,6,West,Success
TXN_0000207,CUST_00881,1052.88,2024-04-08,5,West,Success
TXN_0000208,CUST_00002,2016.4,2024-04-07,3,East,Success
TXN_0000209,CUST_00897,1968.59,2024-05-06,4,West,Success
TXN_0000210,CUST_00254,1935.14,2024-06-16,8,West,Success
TXN_0000211,CUST_00453,2265.18,2024-03-20,3,South,Success
TXN_0000212,CUST_01061,2346.17,2024-10-20,7,East,Success
TXN_0000213,CUST_01184,1562.69,2024-11-28,10,North,Success
TXN_0000214,CUST_01015,6112.99,2024-05-05,5,South,Success
TXN_0000215,CUST_00009,866.46,2024-12-08,5,East,Success
TXN_0000216,CUST_01123,1240.44,2024-11-05,3,East,Success
TXN_0000217,CUST_00816,20413.89,2024-05-29,4,South,Success
TXN_0000218,CUST_00208,962.57,2024-01-16,5,West,Success
TXN_0000219,CUST_01155,747.7,2024-01-28,4,North,Success
TXN_0000220,CUST_00404,3974.21,2024-06-21,3,North,Success
TXN_0000221,CUST_00152,419.18,2024-02-15,2,East,Success
TXN_0000222,CUST_00054,1829.47,2024-11-23,5,East,Success
TXN_0000223,CUST_01144,12291.46,2024-08-23,4,North,Success
TXN_0000224,CUST_00628,641.66,2024-08-01,5,East,Success
TXN_0000225,CUST_00587,452.34,2024-03-25,5,North,Success
TXN_0000226,CUST_00104,665.58,2024-10-08,5,West,Success
TXN_0000227,CUST_00254,4530.95,2024-08-19,5,North,Success
TXN_0000228,CUST_01136,5430.69,2024-03-25,5,North,Success
TXN_0000229,CUST_00510,1465.47,2024-03-05,6,North,Success
TXN_0000230,CUST_00099,3814.52,2024-05-13,2,East,Success
TXN_0000231,CUST_00153,6715.71,2024-05-30,7,West,Success
TXN_0000232,CUST_00914,9226.89,2024-04-24,3,South,Success
TXN_0000233,CUST_00878,1813.35,2024-03-04,3,South,Success
TXN_0000234,CUST_00338,350.31,2024-12-08,6,North,Success
TXN_0000235,CUST_00822,1145.16,2024-12-28,5,East,Success
TXN_0000236,CUST_01187,1569.57,2024-12-17,7,South,Success
TXN_0000237,CUST_00957,1795.16,2024-06-06,8,South,Fail
TXN_0000238,CUST_00161,1900.2,2024-03-17,4,North,Success
TXN_0000239,CUST_00801,5405.19,2024-05-25,1,North,Success
TXN_0000240,CUST_00398,6121.38,2024-12-08,6,East,Success
TXN_0000241,CUST_00816,1924.96,2024-08-12,11,South,Success
TXN_0000242,CUST_01159,5317.66,2024-11-08,10,North,Success
TXN_0000243,CUST_00401,2939.89,2024-04-12,6,West,Success
TXN_0000244,CUST_00640,2325.3,2024-12-12,6,West,Success
TXN_0000245,CUST_01057,4560.72,2024-10-27,4,West,Success
TXN_0000246,CUST_00688,2339.76,2024-03-28,3,North,Success
TXN_0000247,CUST_00460,11455.77,2024-10-29,6,East,Success
TXN_0000248,CUST_00955,698.73,2024-06-16,5,West,Success
TXN_0000249,CUST_00470,1462.44,2024-06-18,5,West,Success
TXN_0000250,CUST_01046,1995.77,2024-05-14,4,West,Success
TXN_0000251,CUST_00750,3138.69,2024-02-19,3,North,Success
TXN_0000252,CUST_00038,6089.79,2024-12-05,4,North,Success
TXN_0000253,CUST_00230,2165.66,2024-12-12,7,North,Success
TXN_0000254,CUST_00563,707.84,2024-05-13,9,West,Success
TXN_0000255,CUST_00438,4332.98,2024-12-12,3,North,Success
TXN_0000256,CUST_00027,4039.87,2024-05-16,3,North,Success
TXN_0000257,CUST_00226,467.09,2024-09-01,3,East,Success
TXN_0000258,CUST_00798,2201.64,2024-04-18,5,North,Success
TXN_0000259,CUST_00284,618.86,2024-11-08,4,South,Success
TXN_0000260,CUST_00879,1297.61,2024-10-13,5,North,Success
TXN_0000261,CUST_00960,1072.51,2024-01-21,6,North,Success
TXN_0000262,CUST_00453,4219.25,2024-03-30,7,South,Success
TXN_0000263,CUST_01020,2424.7,2024-10-22,6,South,Success
TXN_0000264,CUST_00816,789.6,2024-04-21,6,North,Success
TXN_0000265,CUST_00659,4465.13,2024-10-27,6,East,Success
TXN_0000266,CUST_00547,701.31,2024-03-17,5,West,Success
TXN_0000267,CUST_01073,2875.81,2024-06-25,4,South,Fail
TXN_0000268,CUST_00017,1151.47,2024-12-08,5,East,Success
TXN_0000269,CUST_01196,1648.23,2024-05-27,8,North,Success
TXN_0000270,CUST_00158,3305.74,2024-04-10,4,North,Success
TXN_0000271,CUST_00477,3351.49,2024-09-02,6,South,Fail
TXN_0000272,CUST_01070,6435.44,2024-04-26,5,South,Success
TXN_0000273,CUST_00518,2067.71,2024-04-01,5,East,Success
TXN_0000274,CUST_00099,2821.89,2024-01-28,3,North,Success
TXN_0000275,CUST_01061,1555.9,2024-01-25,5,South,Success
TXN_0000276,CUST_00280,2554.45,2024-02-27,7,South,Success
TXN_0000277,CUST_00497,3138.78,2024-10-23,4,West,Success
TXN_0000278,CUST_00302,2041.32,2024-05-13,5,South,Success
TXN_0000279,CUST_00181,521.65,2024-11-26,8,East,Success
TXN_0000280,CUST_00607,2878.94,2024-09-05,5,North,Success
TXN_0000281,CUST_01123,2956.17,2024-02-07,5,South,Success
TXN_0000282,CUST_00700,1281.6,2024-03-15,5,West,Success
TXN_0000283,CUST_00993,790.36,2024-05-21,7,South,Success
TXN_0000284,CUST_01140,7191.85,2024-11-17,6,South,Success
TXN_0000285,CUST_00191,3272.0,2024-06-16,3,North,Success
TXN_0000286,CUST_00253,1838.55,2024-09-15,2,West,Success
TXN_0000287,CUST_00981,889.25,2024-12-20,6,East,Success
TXN_0000288,CUST_00928,1144.3,2024-08-12,4,East,Success
TXN_0000289,CUST_01185,6260.86,2024-05-31,4,North,Success
TXN_0000290,CUST_00128,2465.45,2024-01-19,7,East,Success
TXN_0000291,CUST_00018,1421.59,2024-05-25,4,East,Success
TXN_0000292,CUST_00566,3320.1,2024-08-28,3,South,Success
TXN_0000293,CUST_00570,1151.11,2024-12-09,4,East,Success
TXN_0000294,CUST_00686,7336.92,2024-08-24,3,West,Fail
TXN_0000295,CUST_00626,6517.46,2024-02-04,8,South,Success
TXN_0000296,CUST_00854,1520.42,2024-07-08,4,East,Success
TXN_0000297,CUST_00962,1335.5,2024-01-01,6,West,Success
TXN_0000298,CUST_00155,271.92,2024-06-01,6,South,Fail
TXN_0000299,CUST_00490,675.02,2024-05-05,5,West,Success
TXN_0000300,CUST_00785,756.29,2024-12-10,4,North,Fail
TXN_0000301,CUST_01128,2460.58,2024-08-13,3,North,Success
TXN_0000302,CUST_00246,1701.07,2024-08-08,4,East,Success
TXN_0000303,CUST_01063,752.75,2024-07-29,4,West,Success
TXN_0000304,CUST_00759,1763.52,2024-01-25,6,South,Success
TXN_0000305,CUST_00538,3308.56,2024-01-16,8,West,Success
TXN_0000306,CUST_00921,3368.66,2024-06-30,8,West,Success
TXN_0000307,CUST_00408,483.12,2024-11-24,8,North,Success
TXN_0000308,CUST_00525,1992.99,2024-05-08,6,North,Success
TXN_0000309,CUST_00828,730.21,2024-02-11,5,East,Success
TXN_0000310,CUST_00903,4543.18,2024-12-01,7,West,Success
TXN_0000311,CUST_00036,4135.31,2024-08-23,3,West,Success
TXN_0000312,CUST_00685,1076.62,2024-12-25,5,South,Success
TXN_0000313,CUST_00020,1196.51,2024-02-03,5,South,Success
TXN_0000314,CUST_00321,1526.89,2024-12-10,4,North,Success
TXN_0000315,CUST_00512,364.22,2024-02-14,3,West,Success
TXN_0000316,CUST_00400,2889.31,2024-05-13,4,East,Success
TXN_0000317,CUST_00654,1775.3,2024-01-21,8,North,Success
TXN_0000318,CUST_00972,4798.89,2024-05-01,2,West,Success
TXN_0000319,CUST_00471,917.15,2024-03-10,1,North,Success
TXN_0000320,CUST_01167,1345.74,2024-12-17,6,East,Success
TXN_0000321,CUST_01116,661.68,2024-12-26,5,West,Success
TXN_0000322,CUST_00834,988.87,2024-02-17,7,East,Success
TXN_0000323,CUST_00727,857.84,2024-02-08,3,West,Success
TXN_0000324,CUST_00854,4898.96,2024-10-13,4,West,Success
TXN_0000325,CUST_00051,1263.18,2024-01-10,5,East,Success
TXN_0000326,CUST_00575,2438.99,2024-01-30,2,South,Success
TXN_0000327,CUST_01149,1628.46,2024-08-31,2,East,Success
TXN_0000328,CUST_00150,799.85,2024-09-30,5,East,Success
TXN_0000329,CUST_00314,1930.16,2024-03-28,4,North,Fail
TXN_0000330,CUST_00570,3566.3,2024-08-31,6,East,Success
TXN_0000331,CUST_00305,840.33,2024-11-24,5,East,Success
TXN_0000332,CUST_00682,4218.73,2024-01-15,8,North,Success
TXN_0000333,CUST_00838,1119.04,2024-01-04,4,South,Success
TXN_0000334,CUST_01078,1500.59,2024-07-09,2,East,Success
TXN_0000335,CUST_01003,3376.34,2024-06-16,7,North,Success
TXN_0000336,CUST_00444,1298.87,2024-01-09,2,South,Success
TXN_0000337,CUST_00613,2275.74,2024-04-18,3,South,Success
TXN_0000338,CUST_00993,1716.85,2024-05-16,2,East,Success
TXN_0000339,CUST_00264,2449.15,2024-06-02,5,South,Success
TXN_0000340,CUST_01077,328.79,2024-07-27,3,East,Success
TXN_0000341,CUST_01004,510.94,2024-09-28,6,South,Success
TXN_0000342,CUST_00005,3614.73,2024-05-22,4,South,Success
TXN_0000343,CUST_01127,5063.16,2024-04-08,5,South,Fail
TXN_0000344,CUST_00774,1065.94,2024-11-03,7,East,Success
TXN_0000345,CUST_00877,1816.7,2024-03-09,4,South,Success
TXN_0000346,CUST_00992,2795.53,2024-09-03,3,West,Success
TXN_0000347,CUST_00884,3845.17,2024-09-17,4,North,Success
TXN_0000348,CUST_00047,436.09,2024-10-02,5,North,Success
TXN_0000349,CUST_00867,1086.99,2024-03-19,4,West,Success
TXN_0000350,CUST_00823,1692.46,2024-05-25,5,South,Success
TXN_0000351,CUST_00936,3875.82,2024-04-20,5,West,Success
TXN_0000352,CUST_00656,16297.13,2024-09-14,4,East,Success
TXN_0000353,CUST_00269,1840.14,2024-04-02,3,North,Success
TXN_0000354,CUST_00370,716.53,2024-01-13,6,South,Fail
TXN_0000355,CUST_00636,3046.7,2024-09-16,7,North,Success
TXN_0000356,CUST_01130,6353.73,2024-04-18,6,West,Success
TXN_0000357,CUST_00657,2407.66,2024-11-25,5,West,Success
TXN_0000358,CUST_00120,1069.22,2024-07-07,3,North,Success
TXN_0000359,CUST_00831,4752.35,2024-04-04,5,North,Success
TXN_0000360,CUST_01082,3754.97,2024-04-14,6,North,Success
TXN_0000361,CUST_00741,971.79,2024-01-08,2,North,Success
TXN_0000362,CUST_00117,2996.32,2024-03-07,6,West,Success
TXN_0000363,CUST_00791,4904.03,2024-07-09,2,South,Success
TXN_0000364,CUST_01151,5684.58,2024-09-12,2,North,Success
TXN_0000365,CUST_01013,2094.02,2024-01-09,4,South,Success
TXN_0000366,CUST_01082,1658.28,2024-04-26,5,North,Success
TXN_0000367,CUST_00634,5894.76,2024-09-23,7,East,Success
TXN_0000368,CUST_00513,838.72,2024-04-08,2,South,Success
TXN_0000369,CUST_00802,3136.5,2024-10-24,4,East,Success
TXN_0000370,CUST_01120,738.03,2024-06-12,4,West,Success
TXN_0000371,CUST_01142,5178.66,2024-05-20,6,East,Success
TXN_0000372,CUST_00560,1796.44,2024-09-24,9,West,Success
TXN_0000373,CUST_00488,6092.82,2024-02-06,2,North,Success
TXN_0000374,CUST_00897,3271.91,2024-03-14,5,West,Success
TXN_0000375,CUST_00704,830.0,2024-03-13,2,North,Success
TXN_0000376,CUST_00581,6902.94,2024-11-03,3,North,Success
TXN_0000377,CUST_00790,7638.8,2024-07-17,2,North,Success
TXN_0000378,CUST_00861,4473.07,2024-05-09,4,West,Success
TXN_0000379,CUST_00247,1200.78,2024-09-02,4,North,Success
TXN_0000380,CUST_01100,1728.81,2024-11-07,7,East,Success
TXN_0000381,CUST_00154,2480.81,2024-02-29,3,East,Success
TXN_0000382,CUST_00997,1257.69,2024-10-05,5,North,Success
TXN_0000383,CUST_01110,8551.63,2024-04-12,6,North,Fail
TXN_0000384,CUST_00697,2478.63,2024-10-22,6,South,Success
TXN_0000385,CUST_01093,254.0,2024-11-15,8,West,Fail
TXN_0000386,CUST_01071,2897.16,2024-12-06,8,South,Success
TXN_0000387,CUST_01009,1671.5,2024-05-30,8,East,Success
TXN_0000388,CUST_00094,2079.87,2024-06-05,5,West,Fail
TXN_0000389,CUST_00958,1644.36,2024-07-24,1,East,Success
TXN_0000390,CUST_01012,4211.77,2024-06-27,2,West,Success
TXN_0000391,CUST_00453,5408.63,2024-07-15,4,West,Success
TXN_0000392,CUST_00912,2769.56,2024-08-10,3,West,Success
TXN_0000393,CUST_00218,1683.37,2024-03-29,5,East,Success
TXN_0000394,CUST_00474,2136.51,2024-10-13,8,North,Success
TXN_0000395,CUST_00432,2243.25,2024-10-02,8,East,Success
TXN_0000396,CUST_00341,1162.18,2024-08-23,8,West,Success
TXN_0000397,CUST_00551,3509.2,2024-07-01,3,East,Success
TXN_0000398,CUST_00357,3190.82,2024-07-27,6,East,Success
TXN_0000399,CUST_00023,7573.06,2024-05-09,10,South,Success
TXN_0000400,CUST_00522,6028.66,2024-06-01,2,West,Success
TXN_0000401,CUST_01124,1275.97,2024-01-13,2,East,Success
TXN_0000402,CUST_00802,4256.65,2024-05-01,2,West,Success
TXN_0000403,CUST_00762,1031.98,2024-12-24,3,East,Success
TXN_0000404,CUST_00442,3853.53,2024-08-07,2,South,Success
TXN_0000405,CUST_00769,1460.75,2024-04-15,7,East,Success
TXN_0000406,CUST_01016,973.99,2024-03-10,3,North,Success
TXN_0000407,CUST_00516,2762.9,2024-07-13,7,West,Success
TXN_0000408,CUST_01040,259.91,2024-07-04,10,South,Success
TXN_0000409,CUST_00792,544.15,2024-04-08,5,East,Success
TXN_0000410,CUST_00336,1916.02,2024-03-22,2,South,Success
